ID,Original URL,Archived URL,Page Title,Page Type,Parent Section,Status,Content Recovered,Document Available,Image Available,Notes
AOFABD-URL-001,https://aofabd.com/,https://web.archive.org/web/20260210053148/https://aofabd.com/,AOFA – Association of Former Ambassadors,Homepage,ROOT,ARCHIVED,PARTIAL,NO,YES,Primary snapshot 2026-02-10
AOFABD-URL-002,https://aofabd.com/executive-committee/,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,Executive Committee 2024-2025,People/Committee,Root,ARCHIVED,PENDING,NO,YES,Discovered via navigation
AOFABD-URL-003,https://aofabd.com/members-list/,https://web.archive.org/web/20260210053148/https://aofabd.com/members-list/,Members List,People,Root,ARCHIVED,PARTIAL,NO,YES,Browsed - full members list
AOFABD-URL-004,https://aofabd.com/constitution/,https://web.archive.org/web/20260308045759/https://aofabd.com/constitution/,Constitution – AOFA,Document,Root,ARCHIVED,YES,NO - Images only,YES,10 scanned JPG pages recovered; no PDF
AOFABD-URL-005,https://aofabd.com/notice/,https://web.archive.org/web/20260210053148/https://aofabd.com/notice/,Notice – AOFA,Notice List,Root,ARCHIVED,PARTIAL,POSSIBLE,NO,Needs individual notice extraction
AOFABD-URL-006,https://aofabd.com/article/,https://web.archive.org/web/20260210053148/https://aofabd.com/article/,Articles – AOFA,Article List,Root,ARCHIVED,PENDING,POSSIBLE,NO,Discovered via navigation
AOFABD-URL-007,https://aofabd.com/books/,https://web.archive.org/web/20260210053148/https://aofabd.com/books/,Books – AOFA,Publication List,Root,ARCHIVED,PENDING,POSSIBLE,NO,Discovered via navigation
AOFABD-URL-008,https://aofabd.com/events-news/,https://web.archive.org/web/20260210053148/https://aofabd.com/events-news/,Events News – AOFA,Events/News,Root,ARCHIVED,PENDING,NO,NO,Discovered via navigation
AOFABD-URL-009,https://aofabd.com/aofa-voters-list-2023/,https://web.archive.org/web/20260210053148/https://aofabd.com/aofa-voters-list-2023/,AOFA Voters List 2023,Document/Page,Root,ARCHIVED,PENDING,POSSIBLE,NO,Discovered via navigation
AOFABD-URL-010,https://aofabd.com/messages/,https://web.archive.org/web/20260210053148/https://aofabd.com/messages/,Messages – AOFA,Messages,Root,ARCHIVED,PENDING,NO,NO,Discovered via navigation
AOFABD-URL-011,https://aofabd.com/aofa-voters-list-2025/,https://web.archive.org/web/20260210053148/https://aofabd.com/aofa-voters-list-2025/,AOFA Voters List 2025,Document/Page,Root,ARCHIVED,PENDING,POSSIBLE,NO,Discovered via navigation
AOFABD-URL-012,https://aofabd.com/aofa-ec-elections-2025/,https://web.archive.org/web/20260210053148/https://aofabd.com/aofa-ec-elections-2025/,AOFA EC Elections 2025,Event/Page,Root,ARCHIVED,PENDING,NO,NO,Discovered via navigation
AOFABD-URL-013,https://aofabd.com/aofa-executive-committee-2026-2027/,https://web.archive.org/web/20260210053148/https://aofabd.com/aofa-executive-committee-2026-2027/,AOFA Executive Committee 2026-2027,People/Committee,Root,ARCHIVED,PENDING,NO,YES,Discovered via navigation
