ID,Name,Position,Committee/Term,Organization,Source URL,Notes
AOFABD-PERSON-001,Amb. Abdullah Al-Hasan,President,EC 2024-2025,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,Also served as Secretary General in EC 2022-2023; Re-elected President in EC 2026-2027
AOFABD-PERSON-002,Amb. Jahangir Saadat,Vice President-I,EC 2024-2025,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,Re-elected VP-I in EC 2026-2027
AOFABD-PERSON-003,Amb. Shahed Akhtar,Vice President-II,EC 2024-2025,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,Re-elected VP-II in EC 2026-2027
AOFABD-PERSON-004,Amb. A.F.M. Gousal Azam Sarker,Secretary General,EC 2024-2025,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,Became Member in EC 2026-2027
AOFABD-PERSON-005,Amb. Mosud Mannan,Treasurer,EC 2024-2025,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,Re-elected Treasurer in EC 2026-2027; suffix ndc
AOFABD-PERSON-006,Amb. Mashfee Binte Shams,Assistant Secretary General-II,EC 2024-2025,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,Became ASG-I in EC 2026-2027
AOFABD-PERSON-007,Amb. M. Shafiullah,Member,EC 2024-2025,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,Also VP-I in EC 2022-2023; Re-elected Member in EC 2026-2027
AOFABD-PERSON-008,Amb. A.T.M. Nazrul Islam,Member,EC 2024-2025,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,Re-elected Member in EC 2026-2027
AOFABD-PERSON-009,Amb. Suhrab Hossain,Member,EC 2024-2025,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,Also VP-II in EC 2022-2023; Re-elected Member in EC 2026-2027
AOFABD-PERSON-010,Amb. Golam Mohammad,Member,EC 2024-2025,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,Also ASG-I in EC 2022-2023; Became Secretary General in EC 2026-2027
AOFABD-PERSON-011,Amb. Md. Abdul Hannan,Member,EC 2024-2025,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,Also Member in EC 2022-2023
AOFABD-PERSON-012,Amb. Supradip Chakma,Member,EC 2024-2025,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,Also Member in EC 2022-2023; Became Adviser to Interim Govt of Bangladesh (Aug 2024)
AOFABD-PERSON-013,Amb. Muhammad Abdul Muhith,Assistant Secretary General-II,EC 2026-2027,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/aofa-executive-committee-2026-2027/,Also served as Election Commissioner in EC Elections 2025
AOFABD-PERSON-014,Amb. Dr. Muhammad Imran,Member,EC 2026-2027,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/aofa-executive-committee-2026-2027/,New member
AOFABD-PERSON-015,Amb. Md. Shameem Ahsan,Member,EC 2026-2027,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/aofa-executive-committee-2026-2027/,Suffix ndc; New member
AOFABD-PERSON-016,Amb. Shamsher Mobin Chowdhury,President,EC 2022-2023,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,Suffix BB
AOFABD-PERSON-017,Amb. A.B.M. Abdus Salam,Treasurer,EC 2022-2023,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,
AOFABD-PERSON-018,Amb. A K M Atiqur Rahman,Assistant Secretary General-2,EC 2022-2023,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,
AOFABD-PERSON-019,Amb. A.F.M. Golam Hossain,Member,EC 2022-2023,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,
AOFABD-PERSON-020,Amb. Mrs. Mahmuda Haque Choudhury,Member,EC 2022-2023,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,
AOFABD-PERSON-021,Amb. Munshi Faiz Ahmad,Member,EC 2022-2023,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,
AOFABD-PERSON-022,Amb. Mahbub Uz Zaman,Member,EC 2022-2023,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/executive-committee/,
AOFABD-PERSON-023,Amb. Imtiaz Ahmed,Chief Election Commissioner,EC Elections 2025,AOFA Election Commission,https://web.archive.org/web/20260210053148/https://aofabd.com/aofa-ec-elections-2025/,
AOFABD-PERSON-024,Amb. Ashud Ahmed,Election Commissioner,EC Elections 2025,AOFA Election Commission,https://web.archive.org/web/20260210053148/https://aofabd.com/aofa-ec-elections-2025/,
AOFABD-PERSON-025,Amb. Md. Jashim Uddin,Foreign Secretary,MOFA Bangladesh,Government of Bangladesh,https://web.archive.org/web/20260210053148/https://aofabd.com/messages/,Recipient of congratulatory message from AOFA President (8 Sep 2024)
AOFABD-PERSON-026,Amb. Md. Touhid Hossain,Adviser,Interim Government of Bangladesh,Government of Bangladesh,https://web.archive.org/web/20260210053148/https://aofabd.com/messages/,Recipient of congratulatory message from AOFA President (8 Aug 2024)
AOFABD-PERSON-027,Amb. Mohammed Mohsin,Voter #1,Voters List 2025,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/1298-2/,First on voters list 2025
AOFABD-PERSON-028,Amb. M. A. Muhith,Voter #73,Voters List 2025,AOFA,https://web.archive.org/web/20260210053148/https://aofabd.com/1298-2/,Last on voters list 2025 (73 total voters)
