Resource,Original URL,Referenced From,Expected Type,Archive Status,Recovery Status,Possible Alternative,Notes
Events News Page,https://aofabd.com/events-news/,Navigation Menu,HTML Page,NOT CONFIRMED ARCHIVED,NOT RECOVERED,Some event data recovered from Notice page,"Navigation menu item; Wayback Machine may have captures on other dates"
About Page,https://aofabd.com/about/,NOT CONFIRMED,HTML Page,UNKNOWN,NOT RECOVERED,UNKNOWN,"No explicit 'About' page found in any navigation menu - may not exist as a standalone page"
Contact Page,https://aofabd.com/contact/,NOT CONFIRMED,HTML Page,UNKNOWN,NOT RECOVERED,Contact info may be in homepage footer,"No explicit 'Contact' link found in navigation"
Gallery Page,https://aofabd.com/gallery/,NOT CONFIRMED,HTML Page,UNKNOWN,NOT RECOVERED,UNKNOWN,"No gallery section found in recovered navigation"
Organization Logo,https://aofabd.com/wp-content/uploads/[PATH],All pages,PNG/SVG,LIKELY ARCHIVED,NOT RECOVERED,Re-browse homepage to capture logo src URL,"Logo visible on site but URL not extracted"
Homepage Hero Image,https://aofabd.com/wp-content/uploads/[PATH],Homepage,JPG/PNG,LIKELY ARCHIVED,NOT RECOVERED,Re-browse homepage with image extraction,"Hero/slider images URL not captured"
Homepage Slider Images,https://aofabd.com/wp-content/uploads/[PATH],Homepage,JPG/PNG,LIKELY ARCHIVED,NOT RECOVERED,UNKNOWN,"Slider images URL not captured"
Executive Committee 2024-2025 Member Photos,https://aofabd.com/wp-content/uploads/[PATH],EC Page,JPG/PNG,UNKNOWN,NOT RECOVERED,Re-browse EC page with image extraction,"Member portrait photos may exist"
Executive Committee 2026-2027 Member Photos,https://aofabd.com/wp-content/uploads/[PATH],EC 2026-2027 Page,JPG/PNG,UNKNOWN,NOT RECOVERED,Re-browse EC 2026-2027 page with image extraction,"Member portrait photos may exist"
AOFA Voters List 2025 PDF,https://aofabd.com/[PATH]/voters-list-2025.pdf,Voters List Page,PDF,UNKNOWN,NOT RECOVERED,HTML page was recovered,"May be embedded in page or linked as PDF"
AOFA Voters List 2023 PDF,https://aofabd.com/[PATH]/voters-list-2023.pdf,Voters List 2023 Page,PDF,UNKNOWN,NOT RECOVERED,HTML page content not fully extracted,"May be embedded in page or linked as PDF"
Annual Report/Financial Statement,https://aofabd.com/[PATH],NOT CONFIRMED,PDF,UNKNOWN,NOT RECOVERED,UNKNOWN,"Standard association documents - may exist but not found in navigation"
Facebook Page,https://facebook.com/[PAGE],Homepage Footer/About,External Link,N/A - External,NOT CONFIRMED,Search Facebook for AOFA Bangladesh,"Social media link not extracted from homepage"
YouTube Channel,https://youtube.com/[CHANNEL],Homepage,External Link,N/A - External,NOT CONFIRMED,Search YouTube for AOFA Bangladesh,"Video embed may exist in events news"
Article Full Text (7 articles),https://aofabd.com/[slugs],Articles page,HTML Pages,LIKELY ARCHIVED,NOT RECOVERED - only listed,"Individual article pages not visited; titles and dates recovered only","Each article has a full page - to be extracted individually"
Notice Individual Pages (11 notices),https://aofabd.com/[slugs],Notice page,HTML Pages,LIKELY ARCHIVED,PARTIALLY RECOVERED,"Notice summaries and dates recovered, full text not extracted","Individual notice pages need to be visited for full content"
Book Review Individual Pages (6 reviews),https://aofabd.com/[slugs],Books page,HTML Pages,LIKELY ARCHIVED,NOT RECOVERED - only listed,"Titles, dates, and authors recovered only","Full review text not extracted"
Constitution PDF,https://aofabd.com/[PATH].pdf,Constitution page,PDF,NOT FOUND IN ARCHIVE,NOT RECOVERED — constitution is image scans only,"10 JPG scans available as alternative","Constitution appears to have been uploaded as scanned images not PDF"
Honorary Member #9 Details,https://aofabd.com/members-list/,Members List,Data Row,ARCHIVED,MISSING FROM SOURCE,"Check different archive snapshot","Row 9 of honorary members shows empty/missing data"
