title,author,date,category,content
অসুস্থ হইলে মইরা যাওয়াই ভালো (Bengali),M. Shameem Ahsan (Amb.),11 January 2026,Article,"- **Translation:** ""If sick, it's better to die"" (essay on healthcare & aging)
- **Language:** Bengali
- **Category:** Personal Essay / Social Commentary
- **Summary:** Personal essay reflecting on old age, healthcare, societal empathy, and human dignity in Bangladesh.
"
Bangladesh–India relations: Stability and progress remain a daunting challenge,M. Shameem Ahsan (Amb.),13 December 2025,Article,"- **Language:** English
- **Category:** Foreign Policy / Geopolitics
- **Summary:** Deep analysis of post-August 5, 2024 Bangladesh-India diplomatic relations, foreign policy realignment, BRI influence, and functional connectivity.
"
A century of excellence: A tribute on the 100th birthday of Tun Dr Mahathir Mohamad,Ashraf Ud Doula (Amb.),13 July 2025,Article,"- **Language:** English
- **Category:** Tribute / International Relations
- **Summary:** Tribute detailing Dr. Mahathir Mohamad's legacy, anti-apartheid stance, 1998 Asian financial crisis response, and relations with Bangladesh.
"
Iran-Israel Conflict Analysis & Response,"Shamsher M. Chowdhury, BB (Amb.) & Ashraf Ud Doula (Amb.)",5–6 July 2025,Article,"- **Language:** English
- **Category:** Geopolitics / Security
- **Summary:** Discussion on regional security dynamics, intelligence vulnerability, and Persian historical depth. (Joint article)
"
The war that Israel lost,"Shamsher M. Chowdhury, BB (Amb.)",4 July 2025,Article,"- **Publication:** The Daily Star
- **Language:** English
- **Category:** Geopolitics / Middle East
- **Summary:** Strategic overview of Middle Eastern geopolitical shifts.
"
CHILD DROWNING: Urgent need for preventive measures!,Humayun A. Kamal (Amb.),27 May 2025,Article,"- **Language:** English
- **Category:** Public Health / Social Policy
- **Summary:** Essay on UN World Drowning Prevention Day, UNICEF BHIS survey findings in Bangladesh, ANCHAL daycare, and SwimSafe initiatives.
"
,NOT RECOVERED,2025 (exact date NOT RECOVERED),Article,"---
- Articles are written by AOFA members (former ambassadors) in their personal capacity
- Articles cover: Bangladesh foreign policy, international relations, geopolitics, public health, literature, social commentary
- Some articles originally published in The Daily Star and other outlets and cross-posted on AOFA website
- Some articles are in Bengali
- Screenshots: articles_page_top.png, articles_page_middle.png
"
Two storms and a nation's birth,"Amb. Shamsher M. Chowdhury, Bir Bikram",8 July 2023,Book Review,"- **Review of:** *The Vortex: A True Story of History's Deadliest Storm, an Unspeakable War, and Liberation*
- **Original Book Authors:** Scott Carney & Jason Miklian
- **Publisher:** HarperCollins, 2022
- **Language:** English
- **Summary:** Review of a book about the 1970 cyclone, 1971 liberation war, and Bangladesh's birth.
"
The 'Mister In-Between': A Discussion on Vassanji's 'Vikram Lall',Dr. Iftekhar Ahmed Chowdhury (Amb.),7 August 2022,Book Review,"- **Review of:** *Vikram Lall* by M.G. Vassanji
- **Language:** English
- **Summary:** Essay/discussion on M.G. Vassanji's novel about an East African diplomat.
"
"[Review of ""Diplomacy in Obscurity: A Memoir"" — First Review]",Professor Imtiaz A. Hussain,7 August 2022,Book Review,"- **Review of:** *Diplomacy in Obscurity: A Memoir* by Amb. Hemayet Uddin
- **Publisher:** University Press Limited (UPL), 2021
- **Language:** English
- **Summary:** Academic review of AOFA member Hemayet Uddin's diplomatic memoir.
"
The Definitive Story,"Amb. Shamsher M. Chowdhury, BB",11 February 2022,Book Review,"- **Review of:** *India and the Bangladesh Liberation War: The Definitive Story* by Chandrashekhar Dasgupta
- **Publisher:** Juggernaut, 2021
- **Published in:** The Daily Star
- **Language:** English
- **Summary:** Review of Indian perspective on Bangladesh's 1971 liberation war.
"
"[Review of ""Diplomacy in Obscurity: A Memoir"" — Second Review]","Shahriar Feroze (Assistant Editor, The Daily Observer)",2022 (exact date NOT RECOVERED),Book Review,"- **Review of:** *Diplomacy in Obscurity: A Memoir* by Amb. Hemayet Uddin
- **Language:** English
- **Summary:** Second review of Hemayet Uddin's diplomatic memoir, from a journalist's perspective.
"
"[Review of ""The India Way""]","Amb. Shamsher M. Chowdhury, BB",8 April 2021,Book Review,"- **Review of:** *The India Way* by S. Jaishankar (India's Foreign Minister)
- **Publisher:** HarperCollins
- **Language:** English
- **Summary:** Review of Indian Foreign Minister S. Jaishankar's book on Indian foreign policy.
---
- Books section contains reviews and essays, not original books published by AOFA
- Reviews primarily by AOFA members (former ambassadors)
- Topics: Bangladesh Liberation War, Diplomatic memoirs, Indian foreign policy, East African fiction, 1970 cyclone
- Some reviews cross-posted from The Daily Star and The Daily Observer
- Screenshot: books_page_top.png
- Source URL: https://web.archive.org/web/20260210053148/https://aofabd.com/books/
"
