term,serial,name,position
2026-2027,1,Amb. Abdullah Al-Hasan,President
2026-2027,2,Amb. Jahangir Saadat,Vice President-I
2026-2027,3,Amb. Shahed Akhtar,Vice President-II
2026-2027,4,Amb. Golam Mohammad,Secretary General
2026-2027,5,"Amb. Mosud Mannan, ndc",Treasurer
2026-2027,6,Amb. Mashfee Binte Shams,Assistant Secretary General-I
2026-2027,7,Amb. Muhammad Abdul Muhith,Assistant Secretary General-II
2026-2027,8,Amb. M. Shafiullah,Member
2026-2027,9,Amb. A.T.M. Nazrul Islam,Member
2026-2027,10,Amb. Suhrab Hossain,Member
2026-2027,11,Amb. A.F.M. Gousal Azam Sarker,Member
2026-2027,12,Amb. Md. Abdul Hannan,Member
2026-2027,13,Amb. Dr. Muhammad Imran,Member
2026-2027,14,"Amb. Md. Shameem Ahsan, ndc",Member
2024-2025,1,Amb. Abdullah Al-Hasan,President
2024-2025,2,Amb. Jahangir Saadat,Vice President-I
2024-2025,3,Amb. Shahed Akhtar,Vice President-II
2024-2025,4,Amb. A.F.M. Gousal Azam Sarker,Secretary General
2024-2025,5,"Amb. Mosud Mannan, ndc",Treasurer
2024-2025,6,[Name TBD],Assistant Secretary General-I
2024-2025,7,Amb. Mashfee Binte Shams,Assistant Secretary General-II
2024-2025,8,Amb. M. Shafiullah,Member
2024-2025,9,Amb. A.T.M. Nazrul Islam,Member
2024-2025,10,Amb. Suhrab Hossain,Member
2024-2025,11,Amb. Golam Mohammad,Member
2024-2025,12,Amb. Md. Abdul Hannan,Member
2024-2025,13,Amb. Supradip Chakma,Member
2022-2023,1,"Amb. Shamsher Mobin Chowdhury, BB",President
2022-2023,2,Amb. M. Shafiullah,Vice President-I
2022-2023,3,Amb. Suhrab Hossain,Vice President-II
2022-2023,4,Amb. Abdullah Al-Hasan,Secretary General
2022-2023,5,Amb. A.B.M. Abdus Salam,Treasurer
2022-2023,6,Amb. Golam Mohammad,Assistant Secretary General-I
2022-2023,7,Amb. A K M Atiqur Rahman,Assistant Secretary General-2
2022-2023,8,Amb. A.T.M. Nazrul Islam,Member
2022-2023,9,Amb. Md. Abdul Hannan,Member
2022-2023,10,Amb. Supradip Chakma,Member
2022-2023,11,Amb. A.F.M. Golam Hossain,Member
2022-2023,12,Amb. Mrs. Mahmuda Haque Choudhury,Member
2022-2023,13,Amb. Munshi Faiz Ahmad,Member
2022-2023,14,Amb. Mahbub Uz Zaman,Member
