title,date,content
AOFA Election Commission 2024-2025 Formation,20 January 2024,"Formation of Election Commission for AOFA EC Election 2024-2025
- Amb. Mohamed Mijarul Quayes (Chairman)
- Amb. Mahbub Uz Zaman (Commissioner)
- Amb. Md. Abdul Hannan (Commissioner)"
Annual Picnic 2024,22 January 2024,"Notice for Annual Picnic 2024
- Date: 17 February 2024
- Venue: Sea Gull Cruise, Narayanganj"
Annual General Meeting (AGM) 2023,19 February 2024,"AGM 2023 announcement
- Date: 18 March 2024
- Venue: State Guest House Padma, Dhaka"
Proposed Amendments to the AOFA Constitution,24 February 2024,Proposed constitutional amendments for AGM consideration
Revised Schedule for Election of AOFA EC 2024-2025,07 March 2024,"
- Nomination Filing: 09 March 2024
- Scrutiny: 10 March 2024
- Withdrawal: 11 March 2024
- Election Day: 18 March 2024 (10:00 AM – 12:30 PM)
- Election Venue: State Guest House Padma, Dhaka"
Final List of Voters — AOFA EC Election 2024-2025,26 March 2024,Final voter list for EC Election 2024-2025
Results of AOFA Executive Committee Election 2024-2025,18 March 2024,
Subscriptions Notice,November-December 2023,Annual subscription payment notice
Condolence Message,November-December 2023,Condolence message for a deceased member/associate (specific name NOT RECOVERED)
Extraordinary General Meeting (EGM) Notice,November 2023,EGM notice and agenda
[TITLE NOT RECOVERED],Unknown,"NOT RECOVERED — reference exists in page listing
---
- The notice page appeared to show all notices on a single page (no multi-page pagination observed)
- Screenshots: notice_page_top.png, notice_page_middle.png, notice_page_bottom.png
- Source URL: https://web.archive.org/web/20260210053148/https://aofabd.com/notice/"
